
2024/09/23 (00:10:43) | ===> btop++ v.1.4.0
2024/09/23 (00:10:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (00:50:27) | ===> btop++ v.1.4.0
2024/09/23 (00:50:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (01:01:54) | ===> btop++ v.1.4.0
2024/09/23 (01:01:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (01:08:38) | ===> btop++ v.1.4.0
2024/09/23 (01:08:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (01:17:32) | ===> btop++ v.1.4.0
2024/09/23 (01:17:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (02:05:00) | ===> btop++ v.1.4.0
2024/09/23 (02:05:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (04:14:15) | ===> btop++ v.1.4.0
2024/09/23 (04:14:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (04:57:19) | ===> btop++ v.1.4.0
2024/09/23 (04:57:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (05:58:54) | ===> btop++ v.1.4.0
2024/09/23 (05:58:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (06:26:45) | ===> btop++ v.1.4.0
2024/09/23 (06:26:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (06:38:02) | ===> btop++ v.1.4.0
2024/09/23 (06:38:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (15:50:04) | ===> btop++ v.1.4.0
2024/09/23 (15:50:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (16:33:09) | ===> btop++ v.1.4.0
2024/09/23 (16:33:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (16:33:15) | ===> btop++ v.1.4.0
2024/09/23 (16:33:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (14:19:47) | ===> btop++ v.1.4.0
2024/09/25 (14:19:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (15:25:37) | ===> btop++ v.1.4.0
2024/09/25 (15:25:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (15:28:08) | ===> btop++ v.1.4.0
2024/09/25 (15:28:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (16:05:47) | ===> btop++ v.1.4.0
2024/09/26 (16:05:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (16:12:29) | ===> btop++ v.1.4.0
2024/09/26 (16:12:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (17:42:10) | ===> btop++ v.1.4.0
2024/09/26 (17:42:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (17:43:11) | ===> btop++ v.1.4.0
2024/09/26 (17:43:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (17:44:39) | ===> btop++ v.1.4.0
2024/09/26 (17:44:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (04:55:46) | ===> btop++ v.1.4.0
2024/09/27 (04:55:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (14:57:55) | ===> btop++ v.1.4.0
2024/09/28 (14:57:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/29 (14:36:18) | ===> btop++ v.1.4.0
2024/09/29 (14:36:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/30 (02:31:37) | ===> btop++ v.1.4.0
2024/09/30 (02:31:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (03:49:18) | ===> btop++ v.1.4.0
2024/10/01 (03:49:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (04:42:52) | ===> btop++ v.1.4.0
2024/10/01 (04:42:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (23:02:35) | ===> btop++ v.1.4.0
2024/10/01 (23:02:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (23:19:05) | ===> btop++ v.1.4.0
2024/10/01 (23:19:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (23:19:24) | ===> btop++ v.1.4.0
2024/10/01 (23:19:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (23:25:50) | ===> btop++ v.1.4.0
2024/10/01 (23:25:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (23:28:52) | ===> btop++ v.1.4.0
2024/10/01 (23:28:52) | WARNING: Intel GPU: Failed to initialize PMU

